T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
22.2,28.4,16.6,0.0,53.0,7.7,0.9,5.4,255.875
22.1,28.9,17.8,0.0,58.0,5.1,1.1,0.0,217.08333333333331
22.2,29.0,18.4,0.0,62.0,6.0,3.9,5.4,229.16666666666663
20.4,27.2,15.2,0.0,52.0,6.3,4.1,7.6,298.4583333333333
20.1,27.2,14.8,0.0,50.0,6.9,6.5,7.6,264.9166666666667
21.2,26.6,15.5,0.0,59.0,6.3,6.7,9.4,404.5
23.4,30.6,17.6,0.0,48.0,6.3,4.1,5.4,188.5
23.3,31.0,16.3,0.0,42.0,5.8,2.8,11.1,164.75
22.4,30.7,16.3,0.0,49.0,6.3,3.3,7.6,376.91666666666674
20.7,28.7,14.3,0.0,48.0,6.9,7.2,9.4,0.0
20.4,28.0,14.2,0.0,45.0,6.3,4.6,7.6,0.0
20.9,28.5,14.3,0.0,46.0,6.3,4.1,7.6,57.0
22.7,29.1,17.1,0.0,48.0,6.3,2.0,5.4,202.91666666666663
21.9,29.8,16.2,0.0,44.0,6.3,2.6,7.6,205.125
21.3,29.0,16.0,0.0,53.0,6.9,4.4,11.1,214.125
21.4,29.2,15.0,0.0,42.0,6.9,5.2,9.4,315.7916666666667
21.9,29.6,13.2,0.0,26.0,6.9,3.1,7.6,322.25
22.6,30.4,15.9,0.0,30.0,8.5,5.4,9.4,246.04166666666663
21.7,30.1,15.8,0.0,32.0,6.9,6.3,11.1,200.91666666666663
23.3,32.3,20.2,0.0,67.0,6.3,3.0,5.4,99.5
23.3,30.0,19.2,0.0,54.0,6.9,2.4,5.4,143.91666666666666
24.4,30.2,19.7,0.0,61.0,6.9,1.5,5.4,100.25
23.5,30.2,18.5,0.0,49.0,6.3,5.0,11.1,165.0
23.3,29.9,17.9,0.0,58.0,6.9,5.6,7.6,116.45833333333331
23.4,30.7,17.4,0.0,60.0,6.3,5.7,7.6,143.0
24.3,32.1,16.8,0.0,34.0,6.3,5.0,9.4,231.125
22.8,32.2,17.4,0.0,39.0,6.9,7.4,18.3,218.66666666666663
24.2,31.5,17.5,0.0,31.0,6.9,5.4,11.1,211.0
24.7,31.2,17.3,0.0,34.0,7.4,6.9,11.1,52.20833333333334
25.0,32.0,17.8,0.0,34.0,6.9,3.9,5.4,187.5
25.2,32.7,18.2,0.0,28.0,6.9,5.9,11.1,130.16666666666666
25.2,33.2,18.2,0.0,26.0,6.9,5.2,7.6,123.125
25.5,32.5,18.3,0.0,25.0,6.9,4.8,7.6,120.91666666666669
25.7,33.2,17.5,0.0,21.0,6.9,2.4,5.4,153.625
25.5,34.6,16.5,0.0,29.0,7.7,7.0,11.1,130.33333333333334
25.4,33.5,18.5,0.0,25.0,6.9,5.7,9.4,110.70833333333331
26.2,33.3,17.8,0.0,27.0,6.9,5.9,7.6,138.5
25.8,32.5,20.1,0.0,57.0,6.9,4.1,7.6,75.75
26.5,31.6,22.4,0.0,50.0,6.9,4.8,11.1,146.54166666666666
25.8,32.1,21.6,0.0,60.0,6.9,4.6,11.1,116.625
25.6,31.0,19.6,0.0,39.0,7.4,2.8,48.2,80.04166666666667
26.7,33.8,19.5,0.0,37.0,6.9,2.4,5.4,100.04166666666669
27.4,33.7,21.4,0.0,44.0,6.9,2.2,3.5,109.45833333333331
27.3,33.4,21.7,0.0,43.0,7.7,3.9,7.6,110.16666666666669
27.1,34.1,20.8,0.0,34.0,6.9,3.3,7.6,108.20833333333331
27.4,34.4,21.5,0.0,42.0,6.9,3.3,5.4,103.83333333333331
25.9,34.8,21.1,0.0,60.0,6.3,4.1,9.4,74.29166666666667
27.6,33.2,21.2,0.0,54.0,6.9,2.0,7.6,101.79166666666669
24.7,33.5,20.6,0.0,72.0,6.9,2.2,5.4,106.16666666666669
26.1,33.1,19.8,0.0,55.0,7.4,0.7,3.5,89.875
26.7,33.5,21.6,0.0,51.0,8.5,3.1,5.4,48.20833333333334
26.4,32.6,21.0,0.0,47.0,6.9,5.0,7.6,47.04166666666666
26.2,32.7,21.0,0.0,49.0,6.9,5.2,7.6,67.79166666666667
27.6,33.5,21.7,0.0,51.0,6.9,5.9,11.1,56.66666666666666
28.3,34.0,23.1,0.0,50.0,6.9,5.2,7.6,79.0
28.2,34.6,23.9,0.0,52.0,7.7,3.9,7.6,123.58333333333331
27.9,34.8,23.9,0.0,63.0,6.9,2.0,7.6,80.29166666666667
25.5,34.0,22.8,0.0,63.0,6.9,1.1,5.4,137.875
28.2,34.8,22.2,0.0,51.0,7.4,1.1,3.5,87.875
26.6,34.0,22.2,0.0,63.0,6.9,3.1,7.6,121.20833333333331
27.2,34.4,22.8,0.0,62.0,6.9,4.1,5.4,97.04166666666669
28.3,34.7,22.0,0.0,51.0,9.2,2.8,9.4,92.08333333333331
26.9,35.2,21.4,0.0,64.0,6.3,5.0,11.1,130.625
26.5,33.0,23.3,0.0,73.0,7.7,4.8,9.4,90.5
25.9,34.0,20.0,0.0,72.0,6.9,3.0,9.4,55.41666666666666
27.8,33.5,23.4,0.0,57.0,6.9,3.9,7.6,108.33333333333331
25.9,33.5,22.8,0.0,70.0,6.9,3.7,9.4,198.875
27.2,32.8,21.8,0.0,59.0,6.9,4.1,9.4,120.70833333333331
24.9,32.0,21.5,0.0,74.0,7.4,1.1,37.0,60.54166666666666
23.8,32.0,21.0,0.0,78.0,6.9,1.9,5.4,79.0
24.8,31.4,20.6,0.0,63.0,6.3,0.9,3.5,133.70833333333334
25.9,31.2,21.4,0.0,66.0,6.9,6.1,11.1,53.25
25.2,32.4,20.5,0.0,65.0,6.9,2.6,9.4,65.16666666666667
24.1,32.4,21.5,0.0,77.0,6.3,3.1,11.1,83.58333333333333
23.5,32.0,21.4,0.0,89.0,6.3,4.1,7.6,40.66666666666666
25.0,29.8,21.1,0.0,78.0,5.5,2.4,5.4,48.125
26.0,30.8,22.2,0.0,71.0,6.9,2.2,5.4,103.16666666666669
